indiv me4_blood_ptrs me4_cere_ptrs me4_cortex_ptrs me4_nacc_ptrs
OM2005-RN-5676-Gordon-MEGA-Plate-07-B08_OM2005 -0.507985977950323 -0.392926767013278 -0.454419430411178 -0.378551386254087
OM2012-RN-5676-Gordon-MEGA-Plate-09-H10_OM2012 -0.0767016653455777 0.0979019733400722 -0.0480972087286475 0.13225742196441
OM2014-RN-5676-Gordon-MEGA-Plate-01-H12_OM2014 -0.0448488852175347 -0.34298168104053 -0.0685024543662685 -0.186162035989248
OM2052-RN-5676-Gordon-MEGA-Plate-07-H03_OM2052 0.0745025234844285 0.115705450607045 0.0451604231639715 0.106126838484658
OM2065-RN-5676-Gordon-MEGA-Plate-10-D05_OM2065 0.0964723019872315 0.332341638672333 0.0118822613307983 0.206347960479438
OM2173-RN-5676-Gordon-MEGA-Plate-19-D11_OM2173 -0.0183719728426291 -0.433645596070764 -0.297048877209436 -0.346806669490038
OM2178-RN-5676-Gordon-MEGA-Plate-11-E01_OM2178 -0.5090793216615 -0.0416155870427933 -0.356137820507171 -0.164402965048173
OM2185-RN-5676-Gordon-MEGA-Plate-15-A08_OM2185 -0.0485380725006327 -0.142988235949735 -0.176507265664958 -0.00624506425824557
OM2200-RN-5676-Gordon-MEGA-Plate-14-G11_OM2200 -0.088804470349296 0.0117398872072605 0.047294727919912 0.0665636216790457
OM2224-RN-5676-Gordon-MEGA-Plate-15-E02_OM2224 -0.576127362156015 -0.161094565896052 -0.345289624697481 -0.0975363395441247
OM2235-RN-5676-Gordon-MEGA-Plate-12-A12_OM2235 -0.280137420055141 -0.36791242389688 -0.225267209191145 -0.202117452788888
OM2237-RN-5676-Gordon-MEGA-Plate-08-B05_OM2237 -0.478377891206836 -0.750364158027488 -0.354987265422046 -0.380711620545365
OM2307-RN-5676-Gordon-MEGA-Plate-17-B12_OM2307 -0.0955610967066004 0.22915086756262 -0.0379293296891184 0.0991081876544389
OM2326-RN-5676-Gordon-MEGA-Plate-06-B08_OM2326 -0.459000693201669 -0.292933426784528 -0.242243447911427 -0.128714060347353
OM2333-RN-5676-Gordon-MEGA-Plate-02-C01_OM2333 -0.0428475321418005 0.283818071611329 -0.0429843913228574 0.0536939851505267
OM2351-RN-5676-Gordon-MEGA-Plate-12-C08_OM2351 -0.150236500696343 0.227824018163695 0.00339684979804033 0.0701114064884027
OM2407-RN-5676-Gordon-MEGA-Plate-06-G12_OM2407 -0.119855693006055 -0.0601624860862796 -0.112465391944403 -0.0708046581543722
OM2410-RN-5676-Gordon-MEGA-Plate-15-A06_OM2410 0.102830800222421 0.24774014193337 -0.0626789894350213 0.114890523491912
OM2415-RN-5676-Gordon-MEGA-Plate-05-B11_OM2415 0.146029831039752 0.335015054669708 0.179908010606938 0.285599548542916
OM2417-RN-5676-Gordon-MEGA-Plate-10-H07_OM2417 0.196420267250081 0.304089649506691 0.146568724709959 0.271567538762856
OM2422-RN-5676-Gordon-MEGA-Plate-07-H08_OM2422 -0.163108606286558 0.0547566390248772 -0.103369529592741 0.0208844935951762
OM2423-RN-5676-Gordon-MEGA-Plate-11-A10_OM2423 -0.00557691997920391 0.299005652126167 0.0447386293656941 0.169790000093822
OM2425-RN-5676-Gordon-MEGA-Plate-14-D09_OM2425 -0.331424312223442 -0.437790134934243 -0.231449899400542 -0.139949303759452
OM2427-RN-5676-Gordon-MEGA-Plate-15-C02_OM2427 -0.228548146665018 -0.335454347337136 -0.241195108063854 -0.246788312184725
OM2428-RN-5676-Gordon-MEGA-Plate-07-C09_OM2428 -0.0236164744236209 0.246276752166843 -0.00505582568149678 0.150246148505307
OM2429-RN-5676-Gordon-MEGA-Plate-02-C03_OM2429 -0.291797521645901 -0.256525467005965 -0.0754892761487368 0.0162275667669414
