indiv smrt_Adipose_Subcutaneous_ptrs smrt_Adipose_Visceral_Omentum_ptrs smrt_Adrenal_Gland_ptrs smrt_Artery_Aorta_ptrs smrt_Artery_Coronary_ptrs smrt_Artery_Tibial_ptrs smrt_Brain_Amygdala_ptrs smrt_Brain_Anterior_cingulate_cortex_BA24_ptrs smrt_Brain_Caudate_basal_ganglia_ptrs smrt_Brain_Cerebellar_Hemisphere_ptrs smrt_Brain_Cerebellum_ptrs smrt_Brain_Cortex_ptrs smrt_Brain_Frontal_Cortex_BA9_ptrs smrt_Brain_Hippocampus_ptrs smrt_Brain_Hypothalamus_ptrs smrt_Brain_Nucleus_accumbens_basal_ganglia_ptrs smrt_Brain_Putamen_basal_ganglia_ptrs smrt_Brain_Spinal_cord_cervical_c-1_ptrs smrt_Brain_Substantia_nigra_ptrs smrt_Breast_Mammary_Tissue_ptrs smrt_Cells_Cultured_fibroblasts_ptrs smrt_Cells_EBV-transformed_lymphocytes_ptrs smrt_Colon_Sigmoid_ptrs smrt_Colon_Transverse_ptrs smrt_Esophagus_Gastroesophageal_Junction_ptrs smrt_Esophagus_Mucosa_ptrs smrt_Esophagus_Muscularis_ptrs smrt_Heart_Atrial_Appendage_ptrs smrt_Heart_Left_Ventricle_ptrs smrt_Kidney_Cortex_ptrs smrt_Liver_ptrs smrt_Lung_ptrs smrt_Minor_Salivary_Gland_ptrs smrt_Muscle_Skeletal_ptrs smrt_Nerve_Tibial_ptrs smrt_Ovary_ptrs smrt_Pancreas_ptrs smrt_Pituitary_ptrs smrt_Prostate_ptrs smrt_Skin_Not_Sun_Exposed_Suprapubic_ptrs smrt_Skin_Sun_Exposed_Lower_leg_ptrs smrt_Small_Intestine_Terminal_Ileum_ptrs smrt_Spleen_ptrs smrt_Stomach_ptrs smrt_Testis_ptrs smrt_Thyroid_ptrs smrt_Uterus_ptrs smrt_Vagina_ptrs smrt_Whole_Blood_ptrs
OM2005-RN-5676-Gordon-MEGA-Plate-07-B08_OM2005 2.32529396605665 1.31226865738719 2.69828792277877 -0.538466399003595 2.79573423289377 4.17888659431474 -0.232618719946333 6.6419611011192 -2.31337351695676 3.28813169343862 5.40346887066144 1.04299029209368 6.59652675876523 1.07850170330135 2.72062511239504 2.09786455278041 0.419559544356227 1.34459897435489 1.72599430842669 1.9145136856559 -1.60085923651295 3.54763360096936 -0.132076207359448 2.22728241672476 6.18532875975276 3.16364883256454 4.79650335399296 3.00306974148716 -0.818467832065795 0.728319258720786 -0.37312581534265 0.779268369623605 2.18952855224294 0.719819339853129 1.42459035869703 1.3427162109106 0.928317305257548 0.165884513770604 3.4853179687196 3.82433222219752 -6.17199083870483 0.604574652649414 0.161468321031988 3.04007452356514 0.415110980201192 3.53138577269214 5.41348968098998 -0.0194324123485755 1.22272983053784
OM2012-RN-5676-Gordon-MEGA-Plate-09-H10_OM2012 1.10193129502519 -3.7091341256516 1.20890234161397 -1.33927303876487 -1.80465313719861 2.17788929119501 -1.63149345941195 0.164926879981476 -2.20381313237282 1.71910808512834 2.63063986121685 0.220070512685976 3.1546217615002 -2.29448893067615 1.32163234594557 -0.596308468896175 -0.232221695064707 -5.25315859743596 2.6770257869601 0.537519286200141 0.223854448807016 -0.129217968693193 -1.43501606418465 0.418350904993636 3.42888591970193 2.17896082662379 5.94478900754125 -2.95371021286691 -1.55336610240562 0.968233541883798 -1.01183414060284 -1.28473091820057 0.60139094627435 -4.49536650054232 1.53850159733256 -0.824504501773369 -0.27117369035417 1.78469047678395 -0.218741721490479 2.05228970446139 -0.171369907304295 -6.40083866962486 -5.69862332642397 0.40371066822343 -5.90563058360313 -1.97119334502767 -0.884386896429808 0.476854367117713 -1.09770557819128
OM2014-RN-5676-Gordon-MEGA-Plate-01-H12_OM2014 3.0232107026821 0.740427422631046 1.08030727403383 -2.91716170398343 1.74473616189506 -1.8385829489397 -2.78648914068628 4.41524317455256 -0.467004439760815 -6.20168010625535 4.12907542975904 -0.546505593859128 2.98070085733699 0.91068400836901 -0.0663523851976473 0.209826854501058 0.62178377523965 5.10310649712227 1.64144269298217 1.00659704274726 -0.632811526171339 0.713979827224847 3.1379713791375 -2.03642129914535 2.93300126705509 2.44780548462692 2.66121823163077 0.433290178847598 1.82917298543507 -0.596309891106658 -0.129719267131279 -0.777116108126248 0.360979891872386 -1.91185580835299 -1.05345426976704 -2.58053265061698 1.509277671944 -1.53108464213131 0.774677193254646 -0.460808443656364 -11.7255728833009 -2.66168801676258 2.91720240209375 1.81934822633011 5.47490549734775 0.777104060083537 1.65196917960432 1.57265759198658 -0.0224701365714608
OM2052-RN-5676-Gordon-MEGA-Plate-07-H03_OM2052 -0.350901072499083 -0.564490633154669 2.46126809372433 3.25821931798402 3.47549192024643 0.0804249694080857 -4.17595256743618 0.76533733030003 1.60613551170715 1.98512207232267 1.53562949303428 1.46850183326753 2.12503307890456 0.557524478189041 0.0219578701131629 -1.43320956623374 -1.02826445267738 3.4243783720002 1.91749017513894 0.954139817414773 2.62353072811349 1.59104216253834 -1.52966266353713 0.977938406826537 3.4357192352195 3.61931462662385 5.43399075109249 1.64062985254663 -0.715975386170941 0.418605989494798 0.118006892230118 5.78820473715054 2.49818405171411 1.32520703480234 3.3161836352513 2.01040091316321 -1.18232978980602 2.12224301031443 6.41527775292247 1.74729051280292 3.22474613739946 -3.56186955896609 0.748493442807352 2.73502961212777 1.44857549022601 2.35000031022452 5.55846381863508 1.14096213476676 0.25161719947479
OM2065-RN-5676-Gordon-MEGA-Plate-10-D05_OM2065 3.67511596912191 -2.44645179896839 -1.36948732099172 0.511486614686734 0.812851865478464 -0.0251771021678961 -3.12424579975362 -1.20166868859018 -5.51896987853358 0.00223067368045275 -0.110151322901755 0.26322895360278 -3.63205913370726 0.100439293021241 -2.59479703212901 -0.872095229033442 -3.81194861236202 -3.31231967446288 -1.3519147881672 1.60249399466906 -0.27033027394601 1.5192332995081 -3.12210406925245 4.26638875166847 3.95707958657009 1.64627080688664 1.23523893842035 1.02897769306935 -0.0042330331186512 0.294255021180545 -0.704379527853245 0.44572094502713 1.92951978736559 -0.893183956084083 1.11129509523218 0.863903996955296 0.67741552232255 2.48517274685897 1.99198556631431 1.15236520201176 1.26880878560194 -8.66211946655154 -3.73797913958792 1.09797810497084 0.642794165763265 1.70920483760154 2.43772169354389 -0.816985473220788 2.97036246381394
OM2173-RN-5676-Gordon-MEGA-Plate-19-D11_OM2173 -0.39876617848861 -2.42974344528038 0.587437911990742 -1.9896116963188 1.08955505519122 -0.236406602415526 -3.99867265086079 -5.01592174873222 0.405090656650963 -1.10035651986859 -1.12302549097481 -3.38653580417962 -2.13340017881906 -1.42570188264618 0.678327839061618 -0.309667122442299 -1.09298936652714 -3.90861948478778 -0.499299949690772 1.40454492579258 2.15623479526574 -0.541014045501862 -1.70945925611172 2.69296540660554 0.0972116101957918 0.509678161136088 3.48019248425045 -1.19512019525496 -4.22044324682882 -3.89355264693054 0.474847779586341 -1.71739286396506 -1.94225905192125 -1.44781115766123 0.531729448260327 -0.151903365867202 -0.288522585505612 -2.89116309222002 -1.61521165010458 0.611380947953434 6.05414809312979 -1.77573101800266 -4.59775121610968 -0.663234580578593 0.238361920709778 -1.42792506984353 1.765325757627 0.293219399579447 0.779471655795453
OM2178-RN-5676-Gordon-MEGA-Plate-11-E01_OM2178 -1.07211975020363 -3.57178942574485 -1.55644375930204 -2.05865647053033 -0.192968151777898 -0.307139948957232 -1.71202920381697 -2.66257962815932 -0.221096883358666 -3.59065786688479 -0.58112801743999 -2.04006653409097 -1.84728617265706 0.304172485340508 0.649791000196243 -0.831622970490943 -1.61554164697808 0.250602211644036 -4.34274841245032 -1.6437392469962 -2.42471195902794 0.60965981425048 -3.65125186282971 -6.38227645330625 0.682252756689414 0.248868159418082 3.08765488354077 0.944108172070123 0.0799989238014542 -2.49921197645183 -1.01229045825962 -5.03455264207194 2.19300223487995 -5.30551067017238 -4.18195446553844 -1.6366545513164 -1.41968687252442 -4.90552595840539 -0.0311098205002767 0.454053780226782 -2.44914193544302 -3.14285192865435 -5.44314417111963 -1.84417568718398 -10.4525243330712 -2.33905035332278 0.0568277614755485 -0.254627026596923 -1.57745354319751
OM2185-RN-5676-Gordon-MEGA-Plate-15-A08_OM2185 0.638590455623116 -3.32459154624646 0.290913673434831 -0.279490906479187 1.02547416897401 -3.02052872769181 -3.17077691216259 -5.45633463387887 1.53069344476376 -4.52466047982766 1.22348634189634 -2.34831323824672 1.47049517100157 0.58782395565674 -1.07385350917846 0.402508098767142 -0.902701564096494 -0.858709785601579 -0.296208782337789 0.854747296567711 0.226061835004124 2.06915843555084 -0.475538681796637 -2.29486179683822 1.07360029319993 -0.224785881126011 1.2099408837874 -2.11630559998617 -0.280929601027693 -1.40576167300175 0.652309826164929 -1.42788165361691 4.23568097144454 -4.52792883615508 -1.26013388187129 0.551811282332558 1.02853526417197 -4.97362506774486 2.49200377285021 2.37387999558755 -5.97243994663043 -1.51370219488435 -3.00383078884554 0.671056932041651 1.4926945452462 -4.32867881109133 3.5667897734481 0.666508029830535 4.03131579172391
OM2200-RN-5676-Gordon-MEGA-Plate-14-G11_OM2200 -1.39850075344672 -4.98356838914832 -0.645822202287907 -2.86396083568348 0.29639511579083 -3.48888495993706 -1.61579915451644 5.51433836777846 -0.691508254919756 2.81195870346748 5.29594860971534 -2.39849831229468 3.58547079552096 1.66991704652438 -1.51059585398749 0.671099404074445 -0.778719490280442 -1.27522870572726 0.611398501950558 -0.768499981282014 -2.50668527163145 -1.96737608155491 -3.97362241485999 -5.04145251094827 -0.235606837235295 -0.849643337328674 3.95765549125216 3.94420500451502 -2.19802275544546 -3.82701246686977 -0.838474271548301 -5.72166357906546 -1.76290296093261 -5.36762333658237 -3.98595091483953 -1.28266685794553 -0.0755298368482866 0.627451166565713 1.83643550506806 -0.717785374318712 -5.63807315939864 0.530043167721963 -2.78010810956594 -0.951256909617778 1.5031628485627 -2.86759690808669 0.19077272366183 -2.11742562313884 -1.22907523340182
OM2224-RN-5676-Gordon-MEGA-Plate-15-E02_OM2224 1.19671363510747 -2.89805504834591 -1.08411545659227 -0.538619776408716 -0.481476325890846 -2.16655717092949 -1.74430526889687 -2.77794908398505 -1.99923178788108 1.9993509775445 0.779236645620812 -2.12344495181778 1.22360017380944 1.24264488562743 -0.37305951562219 -0.337541178417893 -2.67630824233252 -1.65107856778535 -0.807124969982023 -1.70986039367092 -0.916318208351932 0.622525154652859 -3.5370922597808 -1.72743279033525 2.59209855506313 -1.03497047202013 3.44730646600194 -2.79141618737105 1.36158366513783 -2.44766259441374 0.157577969751881 -0.919454603873589 -0.558144439164925 2.79315486755161 -2.89895149862547 -1.43093454294887 -1.85555951011038 -0.280160608459318 0.469032423009439 2.60928545745851 -1.68177442520165 -3.61247117557153 -4.75260171676055 -1.67655394686654 3.43621625607636 -1.46063380215001 1.59245738139953 -0.724631974096756 0.640234392583534
