indiv	pval_5e-08	pval_1e-05	pval_0.01	pval_0.05	pval_0.1	pval_0.2	pval_0.3	pval_0.4	pval_0.5
OM2005-RN-5676-Gordon-MEGA-Plate-07-B08_OM2005	-0.431203679251527	-0.664345141173111	-0.39182184109464	0.548428963282457	-1.24058257508617	-1.78761416407621	-2.4704836666063	-2.5162408691718	-1.79061962713004
OM2012-RN-5676-Gordon-MEGA-Plate-09-H10_OM2012	0.079189591049601	0.0503926455747011	-0.841139138935033	0.493807747146272	0.423044273913673	0.100381961794025	-0.8004408239248	0.223815224491449	0.364731653396373
OM2014-RN-5676-Gordon-MEGA-Plate-01-H12_OM2014	-0.196833266865279	-0.466093954131058	0.298452994793341	-0.245616376587729	-0.68687804651295	-0.57807173974845	-0.531244217216529	-0.392990294450865	-0.209774953835713
OM2052-RN-5676-Gordon-MEGA-Plate-07-H03_OM2052	0.0269131586316615	-0.0152544674227963	-1.40287517976163	-0.740300911534485	-0.721673969742469	-0.607724607899693	-0.947752802332534	-2.29248381492199	-2.3004407067183
OM2065-RN-5676-Gordon-MEGA-Plate-10-D05_OM2065	0.19216868316242	-0.0280406181692039	0.545568258017294	1.19547721043698	1.50268958801966	1.16803969612416	0.960736153918255	2.23915054326092	2.91561493898248
OM2173-RN-5676-Gordon-MEGA-Plate-19-D11_OM2173	-0.325169318878059	-0.788920457157371	-0.689686548916344	-0.112490174203104	-1.2363732128583	-1.75761594807927	-2.80073341932763	-2.79911961724198	-2.84425308341514
OM2178-RN-5676-Gordon-MEGA-Plate-11-E01_OM2178	-0.180383776279771	-0.639192815607295	-1.28188093363194	-0.623783836118203	-0.177271934956909	-0.154944059945351	-0.13026280440318	0.0533218895606872	2.04136707365064
OM2185-RN-5676-Gordon-MEGA-Plate-15-A08_OM2185	-0.0541313391770381	-0.234172831956931	-0.572419117462883	-0.189487495637568	-0.601075000516441	-0.822663693820111	-1.51748601338272	-1.54236147066955	-1.58558545068633
OM2200-RN-5676-Gordon-MEGA-Plate-14-G11_OM2200	0.046773616798453	-0.309295440013162	-1.19522079962759	-0.520419844778489	-0.380478297751692	-0.901554708121664	-0.967473900285622	-0.927749142982456	-0.874632220106002
OM2224-RN-5676-Gordon-MEGA-Plate-15-E02_OM2224	-0.172908333145982	-0.812228322912489	-0.740225804840283	0.223510170282395	0.213341104506036	0.435707858524555	0.125043405670977	0.323674345266115	2.262089425849
OM2235-RN-5676-Gordon-MEGA-Plate-12-A12_OM2235	-0.231333305909985	-0.769588803571639	-1.22578189006111	-2.06977867211934	-2.19187416918228	-2.65100363420984	-2.87373275059077	-2.72096842735218	-3.05308060184984
OM2237-RN-5676-Gordon-MEGA-Plate-08-B05_OM2237	-0.427813778444666	-0.985638288063371	-1.28743491566358	-2.18338588955118	-2.57135668343462	-2.34331001797097	-2.60230600063878	-2.84495029980568	-2.12678368580757
OM2307-RN-5676-Gordon-MEGA-Plate-17-B12_OM2307	0.0680349266447305	-0.253543328381195	-0.970058653797726	-1.00741530291407	-0.627751349209688	-0.595119102782639	-1.24186528698493	-1.94748062258458	-1.02920083290985
