indiv me4_Adipose_Subcutaneous_ptrs me4_Adipose_Visceral_Omentum_ptrs me4_Adrenal_Gland_ptrs me4_Artery_Aorta_ptrs me4_Artery_Coronary_ptrs me4_Artery_Tibial_ptrs me4_Brain_Amygdala_ptrs me4_Brain_Anterior_cingulate_cortex_BA24_ptrs me4_Brain_Caudate_basal_ganglia_ptrs me4_Brain_Cerebellar_Hemisphere_ptrs me4_Brain_Cerebellum_ptrs me4_Brain_Cortex_ptrs me4_Brain_Frontal_Cortex_BA9_ptrs me4_Brain_Hippocampus_ptrs me4_Brain_Hypothalamus_ptrs me4_Brain_Nucleus_accumbens_basal_ganglia_ptrs me4_Brain_Putamen_basal_ganglia_ptrs me4_Brain_Spinal_cord_cervical_c-1_ptrs me4_Brain_Substantia_nigra_ptrs me4_Breast_Mammary_Tissue_ptrs me4_Cells_Cultured_fibroblasts_ptrs me4_Cells_EBV-transformed_lymphocytes_ptrs me4_Colon_Sigmoid_ptrs me4_Colon_Transverse_ptrs me4_Esophagus_Gastroesophageal_Junction_ptrs me4_Esophagus_Mucosa_ptrs me4_Esophagus_Muscularis_ptrs me4_Heart_Atrial_Appendage_ptrs me4_Heart_Left_Ventricle_ptrs me4_Kidney_Cortex_ptrs me4_Liver_ptrs me4_Lung_ptrs me4_Minor_Salivary_Gland_ptrs me4_Muscle_Skeletal_ptrs me4_Nerve_Tibial_ptrs me4_Ovary_ptrs me4_Pancreas_ptrs me4_Pituitary_ptrs me4_Prostate_ptrs me4_Skin_Not_Sun_Exposed_Suprapubic_ptrs me4_Skin_Sun_Exposed_Lower_leg_ptrs me4_Small_Intestine_Terminal_Ileum_ptrs me4_Spleen_ptrs me4_Stomach_ptrs me4_Testis_ptrs me4_Thyroid_ptrs me4_Uterus_ptrs me4_Vagina_ptrs me4_Whole_Blood_ptrs
OM2005-RN-5676-Gordon-MEGA-Plate-07-B08_OM2005 1.14986108556102 -1.1237538795175 -0.0374166881850491 0.71969900061824 0.453148600424985 2.39575420758965 1.08508607065789 6.20921113892933 -3.5177103902991 5.04339569462719 4.71599380024227 -0.375576240028353 5.43763018638289 -0.0979930089508977 2.95876897608575 0.419658608659785 -0.53229179591902 0.648558361676784 1.18617833992539 -0.211734256778974 -0.00490740583098681 1.8874756688492 -1.56094946346352 1.3592470379348 3.60772094532269 -0.24443128679047 0.549308096359268 0.492986534369347 -0.467976400202817 0.0384173414460364 -0.383807857819144 0.311990207030153 1.16421739543064 -0.155086613084757 2.05825556278409 -1.33501191598144 1.28616251358819 0.207083945267908 0.377332377829482 0.873985076208018 1.82710515113915 -0.257508575033919 0.0913663100144158 -0.394841334610116 -0.852875904134986 1.66851142882502 0.91156873097822 0.0277475173230015 0.149746998206136
OM2012-RN-5676-Gordon-MEGA-Plate-09-H10_OM2012 0.0489101724774474 -3.32385890545138 0.164050082741889 -0.288781994547367 -1.28048793327653 0.110053833023225 0.103374045960559 2.23137276136883 -2.89413920323275 0.28805273849541 2.89043043004294 -0.944408151536525 1.89726494825227 -0.996873848989666 1.20946095044458 -0.538175007073771 -0.207069254112898 -0.121300313350435 0.137727853697631 -1.33720718450254 -0.485370742866168 -0.0604200784116478 -1.90421367030871 -0.141725703460435 2.01293948063619 -1.510877851018 0.771702512468476 -1.58695001310689 -0.545440468125744 -0.216285397972926 -0.62722966611765 -1.18354540392497 -0.734455191215252 -1.56356190587265 -0.135163102766731 -0.607348147584743 0.841827888008003 0.327072063573431 -0.0247553007386455 -1.42200895459299 -0.858894668828493 -2.10696481439433 -1.72636037177884 -0.151343092945438 -4.16651640529769 -1.3706672802517 -0.115643141038977 0.243387484921109 -1.15490868507411
OM2014-RN-5676-Gordon-MEGA-Plate-01-H12_OM2014 1.09061958751037 -0.928880858374046 -0.400786413419131 -0.298605633197959 -1.24440394975299 -1.28194143198041 0.195268601405192 3.20580393525532 -0.0808257388428808 1.77179939282284 2.03435428612687 -0.415783236305492 2.76142173431366 -0.331963890415182 1.024003749687 0.390486014407089 -0.329424190920621 0.977729107072015 0.50860224945819 -0.193961711261649 -0.55515776171066 0.730037935299648 0.0332494163588503 -0.0377845367782016 2.17148713674671 1.05208109588211 0.152505194245557 1.07212689123143 -0.277820631702458 -0.37095583303979 -0.953562871857154 -1.01642843525927 -1.1552415461873 -0.415306772878173 0.412959150156671 -1.63587976317725 2.5044455298984 0.108961221799273 1.2352955362657 -1.0804614989533 0.657844726352381 -0.0480666676122452 -0.346026778755306 0.545028455533663 2.65141727710169 -0.262232360061055 -0.167992935181977 0.342094530990844 -0.187217977470841
OM2052-RN-5676-Gordon-MEGA-Plate-07-H03_OM2052 0.340752181157201 -2.17838602380444 0.0962691313018785 0.644508207622579 0.47660550866392 -0.468519563699328 -0.353580778657024 2.9739523816831 -0.80170448909157 2.47468963846625 2.27239513379647 -0.0454196228429561 1.30927838464983 -0.34899911398202 0.301707186381086 -0.11888777573968 -0.579446144019764 -0.115519314684986 0.167927686269429 -0.959976863048582 0.245880227419891 -0.859105071331315 -0.956737037366719 -0.780769619028706 1.85471024624354 -0.169281776104072 -0.1520232434419 -0.269596461597666 -0.182216580821704 -0.498536331039895 -1.16412343823036 -0.696284489123972 -0.791370931231735 -0.7705955641478 -0.409022706439047 -1.15901151877938 1.04363659811546 -0.372343454965579 0.0208468753320007 -0.158724048285325 1.06224002874736 -0.574545214897425 -0.731059662950731 -0.335886937119532 0.533831842434742 0.690668916046519 -0.0870097236464185 -0.404130005448622 -1.47251630843368
OM2065-RN-5676-Gordon-MEGA-Plate-10-D05_OM2065 1.75048955641969 -1.86539784665388 -1.80221880408273 0.234535626253385 -1.12356702501576 0.251537583466303 1.41298868055294 0.29879089779139 -2.72069730623231 -0.0446573973106619 1.12744366457553 1.29643357572639 0.279110010789897 1.21412460569067 0.0449049986034574 0.529349917383769 0.797343870622814 0.515644472373282 0.288015399375738 0.190760945186419 0.506460176929806 1.38049311648522 -2.03772339643128 0.525231189194009 3.78253803473683 0.794043139581844 0.584588089527189 -0.300833003334045 0.257749851590789 0.315924204728202 0.217658663864178 -0.799948190625894 0.428122415245235 -0.0904845776996197 2.02834677903717 -0.507328488452915 1.34917027392371 -0.342984970248221 1.36398475080199 0.111627792439167 1.17093414237641 -2.80817338859638 -0.389022398102744 -0.810609577377253 0.554118457561088 0.825900159431703 0.575724941710714 0.202517350105304 1.12808804126855
OM2173-RN-5676-Gordon-MEGA-Plate-19-D11_OM2173 -1.24988280974211 -2.8162609194967 -0.0614531195850322 -0.105214662283844 0.314095498333442 -0.4291276338724 -0.538742212098056 -0.504747295687552 -0.191561087897113 -1.15538937094119 -1.00070914000864 -1.79737031693171 -0.556075543463282 -1.1256585929449 0.568369342618832 -0.438178157767181 -0.884870730034615 -0.42931081821205 0.493932940481204 -0.76598698937301 -0.814736982458699 -0.213912005753611 -0.636313400966029 -0.218125158338889 0.115431822837842 -1.08064621062039 -0.577827102539861 -0.241059948898884 -1.65303494256966 -0.735397259587378 -0.710795262180943 -0.765054669155385 -0.5248557046109 -0.38294176620837 -0.248098156859925 -1.16145516863263 0.780896526349518 -1.13622105420454 -0.740324524946447 -1.36074225215887 -0.0113262188539348 -0.355922646252022 -1.0223923054834 -0.0736568077308116 1.2646672810762 -0.126221957283897 0.0716041374784406 0.131992597753948 -0.390025030406559
OM2178-RN-5676-Gordon-MEGA-Plate-11-E01_OM2178 -1.07011634199772 -3.51292128608132 -1.06926320284747 -0.715505736943609 -0.996843466531944 -1.08409270121843 0.00133100977353463 0.45172342785396 -1.04249924740487 -0.847623918781091 -0.775926083009045 -1.62790680372964 -0.0276884185432096 -0.25854450263771 1.26278365104973 -1.02171418884308 -0.59001226480444 -0.271618303202652 0.177928082754351 0.250339383627274 -0.676304167436053 0.0551795196390635 -1.23023879414747 0.167492829363375 1.47961272331538 -2.00996742029305 -0.415724361965177 -0.749028683600148 -0.892051028357258 -1.26891468005715 -1.10424819877475 -0.438704717287224 0.542386415248529 -1.7923103515252 -0.782053365316477 -2.09154611481585 -1.28337544914412 -0.528877430073957 0.683493472118845 -0.854826362324307 0.477063355122356 0.14299812487584 -1.284002847495 0.108714793359953 -4.74155477968876 -0.292834637307176 0.462439045470377 -0.212680131434887 -1.14817841323464
OM2185-RN-5676-Gordon-MEGA-Plate-15-A08_OM2185 -0.122531197211708 -3.37276056878758 -1.00408207818963 -0.164835910752331 -0.284657213805572 -0.0582218221939984 0.177737362149534 -0.0383914643948388 0.266153156146595 0.0737998043882137 1.34494112125598 -1.11317340709535 -1.16830184694376 -1.06589530743886 0.360019123330369 -0.265153642521567 -0.915115680208421 0.854232749099207 0.517560752084592 -0.140168121112201 -0.790291093003461 1.00055305422943 -1.66330154372305 0.97582720046743 0.217351706237052 -1.08399949498939 -0.420687942054512 1.5420187053062 -0.334946481288671 -0.203860968584052 -0.64447395237464 -1.68014438956022 0.593295458137544 -0.753158699309937 -0.0192867775726376 -0.454656928209481 0.136116037616219 -1.71687012736996 0.113260018010623 0.198743425888275 0.690744766160053 0.327852957637855 0.0666679259287991 0.122736038549338 3.92941703345869 -1.00658808948565 0.956953422559211 0.747773667727402 -0.265735824881388
OM2200-RN-5676-Gordon-MEGA-Plate-14-G11_OM2200 -0.937157695679515 -2.89238590297477 0.800009925016643 -1.61081142490384 -0.479405512901721 -0.828977864630282 -0.476105154877482 5.32581173783962 -0.628519128618733 4.05899897950323 3.369680201012 -1.35766539871811 3.48292097183031 -0.743157293978378 -0.321600831531043 -0.338718845408673 -1.199051471843 -0.844590182484517 -0.434119515007678 -0.404940377246147 -0.752737997605026 -0.084952464509564 -1.38931232836736 -0.484015073806394 -0.962310503390169 0.196485800992876 -0.293744941233025 0.787886395209374 -1.57484258173732 -0.489120036466602 -0.107482443452699 -1.85695253356289 -0.267147049147745 -1.15111169373724 -1.46310427518515 -0.969344510690847 1.8964872039192 0.72826200826901 0.384662055163032 -1.70079908603793 -0.0827820003278958 1.08672156325104 -1.14704877066479 -0.408522947638221 0.698036571970416 -0.592448679928964 -0.621377211024246 -0.0483689185427383 -1.57546593069216
OM2224-RN-5676-Gordon-MEGA-Plate-15-E02_OM2224 0.862268361767456 -2.72252710185616 -1.03615202676435 -0.323657817507092 -0.775361001721081 0.0430979334646302 -0.147990980841086 -0.636290874087905 -3.26241788422978 -1.13696970618851 0.299450433001802 -0.450722487391769 -1.07600959641003 -0.814783861088439 2.17531326927421 -1.0530686101798 -1.04974039208606 -0.349117400153143 0.278589643354213 -0.386878456756672 -1.08163119823766 0.410581108206409 -1.07421242398238 0.153494832346764 2.32991971357313 -1.30748321993079 -0.431322824876004 -1.89586786370148 -0.705118642473394 -0.37634332168662 -0.514795757147387 -1.32633915115155 -0.981748370404593 0.440952988412109 -1.37385254920336 -0.62438976513443 -1.42329319316416 -0.651882518813822 0.0353560805937943 -0.44446605255217 -0.191009148004077 -2.79073735511033 -1.59741039053592 -1.09679183800174 3.61793091450995 0.35775093938743 0.480352696163415 -0.0579197700836564 -1.41644681920029
