indiv smrt_blood_ptrs smrt_cere_ptrs smrt_cortex_ptrs smrt_nacc_ptrs
OM2005-RN-5676-Gordon-MEGA-Plate-07-B08_OM2005 -0.507985977950323 -0.392926767013278 -0.509240370271846 -0.378551386254087
OM2012-RN-5676-Gordon-MEGA-Plate-09-H10_OM2012 -0.0767016653455777 0.0979019733400722 -0.050577539864827 0.13225742196441
OM2014-RN-5676-Gordon-MEGA-Plate-01-H12_OM2014 -0.0448488852175347 -0.34298168104053 -0.0753055481050935 -0.186162035989248
OM2052-RN-5676-Gordon-MEGA-Plate-07-H03_OM2052 0.0745025234844285 0.115705450607045 0.034148126489357 0.106126838484658
OM2065-RN-5676-Gordon-MEGA-Plate-10-D05_OM2065 0.0964723019872315 0.332341638672333 0.0375109161956346 0.206347960479438
OM2173-RN-5676-Gordon-MEGA-Plate-19-D11_OM2173 -0.0183719728426291 -0.433645596070764 -0.346655430131952 -0.346806669490038
OM2178-RN-5676-Gordon-MEGA-Plate-11-E01_OM2178 -0.5090793216615 -0.0416155870427933 -0.33049864135716 -0.164402965048173
OM2185-RN-5676-Gordon-MEGA-Plate-15-A08_OM2185 -0.0485380725006327 -0.142988235949735 -0.252034185372638 -0.00624506425824557
OM2200-RN-5676-Gordon-MEGA-Plate-14-G11_OM2200 -0.088804470349296 0.0117398872072605 -0.0143938038375645 0.0665636216790457
OM2224-RN-5676-Gordon-MEGA-Plate-15-E02_OM2224 -0.576127362156015 -0.161094565896052 -0.438375192057037 -0.0975363395441247
OM2235-RN-5676-Gordon-MEGA-Plate-12-A12_OM2235 -0.280137420055141 -0.36791242389688 -0.258707640332326 -0.202117452788888
OM2237-RN-5676-Gordon-MEGA-Plate-08-B05_OM2237 -0.478377891206836 -0.750364158027488 -0.451861684545887 -0.380711620545365
OM2307-RN-5676-Gordon-MEGA-Plate-17-B12_OM2307 -0.0955610967066004 0.22915086756262 0.11587832450069 0.0991081876544389
OM2326-RN-5676-Gordon-MEGA-Plate-06-B08_OM2326 -0.459000693201669 -0.292933426784528 -0.319880227591322 -0.128714060347353
OM2333-RN-5676-Gordon-MEGA-Plate-02-C01_OM2333 -0.0428475321418005 0.283818071611329 0.0644364735781216 0.0536939851505267
OM2351-RN-5676-Gordon-MEGA-Plate-12-C08_OM2351 -0.150236500696343 0.227824018163695 0.0433614359554618 0.0701114064884027
OM2407-RN-5676-Gordon-MEGA-Plate-06-G12_OM2407 -0.119855693006055 -0.0601624860862796 -0.0927772118961569 -0.0708046581543722
OM2410-RN-5676-Gordon-MEGA-Plate-15-A06_OM2410 0.102830800222421 0.24774014193337 0.124615650356233 0.114890523491912
OM2415-RN-5676-Gordon-MEGA-Plate-05-B11_OM2415 0.146029831039752 0.335015054669708 0.309682233326715 0.285599548542916
OM2417-RN-5676-Gordon-MEGA-Plate-10-H07_OM2417 0.196420267250081 0.304089649506691 0.213741930915022 0.271567538762856
OM2422-RN-5676-Gordon-MEGA-Plate-07-H08_OM2422 -0.163108606286558 0.0547566390248772 -0.171835007097179 0.0208844935951762
OM2423-RN-5676-Gordon-MEGA-Plate-11-A10_OM2423 -0.00557691997920391 0.299005652126167 0.12968201283311 0.169790000093822
OM2425-RN-5676-Gordon-MEGA-Plate-14-D09_OM2425 -0.331424312223442 -0.437790134934243 -0.353153405516411 -0.139949303759452
OM2427-RN-5676-Gordon-MEGA-Plate-15-C02_OM2427 -0.228548146665018 -0.335454347337136 -0.221231568975334 -0.246788312184725
OM2428-RN-5676-Gordon-MEGA-Plate-07-C09_OM2428 -0.0236164744236209 0.246276752166843 0.0756275235925627 0.150246148505307
OM2429-RN-5676-Gordon-MEGA-Plate-02-C03_OM2429 -0.291797521645901 -0.256525467005965 -0.248169076112497 0.0162275667669414
OM2430-RN-5676-Gordon-MEGA-Plate-14-B12_OM2430 -0.360243361426967 -0.152695680127338 -0.419879024719452 0.0237823667734965
OM2432-RN-5676-Gordon-MEGA-Plate-14-G10_OM2432 0.0204618281172684 0.171878182254056 0.0634941606729125 0.213898285998222
OM2433-RN-5676-Gordon-MEGA-Plate-02-C07_OM2433 -0.417745929078003 -0.549756325389352 -0.569804732153293 -0.246295544825814
OM2438-RN-5676-Gordon-MEGA-Plate-16-C12_OM2438 -0.029126287135358 -0.238693291055872 -0.120793385187475 -0.181567128416336
OM2439-RN-5676-Gordon-MEGA-Plate-18-B08_OM2439 -0.140608596045155 0.142231111102555 0.155592938893028 0.0454799139342002
OM2440-RN-5676-Gordon-MEGA-Plate-16-F07_OM2440 -0.0186333125131535 0.262852550163578 0.146504075314702 0.108418706166771
OM2441-RN-5676-Gordon-MEGA-Plate-02-A07_OM2441 -0.647657505590233 -0.502524232524722 -0.585095896887472 -0.4686382206253
OM2442-RN-5676-Gordon-MEGA-Plate-14-H06_OM2442 -0.423290809942596 -0.888277222072517 -0.78023933715451 -0.491800021095609
OM2443-RN-5676-Gordon-MEGA-Plate-10-B10_OM2443 -0.0867045372812549 -0.521852284923823 -0.331686415718727 -0.1866846138664
OM2445-RN-5676-Gordon-MEGA-Plate-11-A08_OM2445 -0.0925066219010569 0.17998183298908 -0.120530407137537 -6.65128937971278e-05
OM2448-RN-5676-Gordon-MEGA-Plate-10-A03_OM2448 -0.0710923081832751 0.22153252962802 -0.0506131313066982 -0.0105362056750018
