indiv	pval_5e-08	pval_1e-05	pval_0.01	pval_0.05	pval_0.1	pval_0.2	pval_0.3	pval_0.4	pval_0.5
OM2005-RN-5676-Gordon-MEGA-Plate-07-B08_OM2005	-0.452586227752389	-0.751639441451844	-0.418414632325299	-0.0636089508480148	0.170750801901216	-1.27534103177183	-1.9803603078974	-1.59016258032339	-2.18245614799161
OM2012-RN-5676-Gordon-MEGA-Plate-09-H10_OM2012	-0.0238530236568634	-0.0587137872890777	-0.326378424947148	0.348557818632116	0.497953441229297	0.339021034832318	0.222126731363621	0.703970202869857	0.587165314012854
OM2014-RN-5676-Gordon-MEGA-Plate-01-H12_OM2014	-0.0972542464389372	-0.0371749866944038	0.425202997369371	1.10110513643248	1.46055773620411	1.0511484044291	0.16482979071824	1.74062162491444	1.35859231079262
OM2052-RN-5676-Gordon-MEGA-Plate-07-H03_OM2052	0.0184730324225037	0.125924142319348	-0.163219773501784	0.359205200154125	0.192492757847689	-0.39002774942477	-0.87916402163236	-0.735446117127674	-0.961175092566331
OM2065-RN-5676-Gordon-MEGA-Plate-10-D05_OM2065	0.0356798944511326	-0.0286798256935202	1.54878245414569	2.17992779828706	2.33799720001936	1.22182348490795	1.04447631226259	1.50476545636699	0.925493144835427
OM2173-RN-5676-Gordon-MEGA-Plate-19-D11_OM2173	-0.364227096079646	-0.378440069582691	0.135668145967495	0.0318216770022891	0.359534892551243	-0.507360003713944	-0.299974502180031	0.261206903593951	-0.118271517052496
OM2178-RN-5676-Gordon-MEGA-Plate-11-E01_OM2178	-0.272642712962012	-0.459282179876485	-0.481633552472903	-0.0472192501251385	0.132618399720815	0.111155522702789	0.450854208634044	0.506036693412391	-0.5059177030771
OM2185-RN-5676-Gordon-MEGA-Plate-15-A08_OM2185	-0.263082176534021	-0.144922857314684	0.651914173984119	0.29134633388207	0.604261241183767	-0.0751014355617518	-0.261130684450863	0.387063881490276	0.11480010310644
OM2200-RN-5676-Gordon-MEGA-Plate-14-G11_OM2200	-0.0418641444036516	-0.229932106532018	-0.413678187520954	-0.504404209621752	-0.247096323385518	-0.426883011370848	-0.401718806783722	-0.727151589407898	-1.33939370772247
OM2224-RN-5676-Gordon-MEGA-Plate-15-E02_OM2224	-0.385697699528488	-0.406925631936744	-0.608421365099056	-0.875153460269938	-0.33844171351989	-0.300180979141246	-0.133735632118694	0.206417954366089	0.0840114679022079
OM2235-RN-5676-Gordon-MEGA-Plate-12-A12_OM2235	-0.341200295654529	-0.240820853732246	-0.838788129510368	-1.30074148704833	-1.51012390605771	-2.85032489267525	-3.34009909729347	-2.20181291661086	-2.28834729110128
OM2237-RN-5676-Gordon-MEGA-Plate-08-B05_OM2237	-0.429542734905907	-0.462634697650562	-0.206052180551218	-0.707266047878078	-0.916013604933119	-2.13394461366264	-2.65047311880686	-1.57478773719456	-1.02042386674415
OM2307-RN-5676-Gordon-MEGA-Plate-17-B12_OM2307	0.114840256078603	-0.0240023460317868	-0.816166772428738	-0.310630625820773	0.603377751118699	0.883352853991198	0.682001143168637	2.07680168362432	2.51767489885644
OM2326-RN-5676-Gordon-MEGA-Plate-06-B08_OM2326	-0.252746009532531	-0.277306161856134	1.76793814293778	2.22881314028054	2.88924566467649	2.43221183825839	2.45627300999052	3.28916813779171	2.8635380816281
OM2333-RN-5676-Gordon-MEGA-Plate-02-C01_OM2333	0.0663738999668214	0.121799873886913	0.765790411402464	1.25764669386903	1.63610604308354	0.753801111068011	0.613720390858707	0.947443447665297	0.760815241710991
OM2351-RN-5676-Gordon-MEGA-Plate-12-C08_OM2351	0.0130702051279884	-0.126358254340718	-0.0281428297973975	0.290410452684807	0.428273658103547	-0.368790297056099	-1.15332223756043	0.370271694028549	0.843762804106866
OM2407-RN-5676-Gordon-MEGA-Plate-06-G12_OM2407	-0.114882357738295	-0.158325778389201	0.830969153849003	0.504235377606888	0.798177049487583	0.57907280145635	0.545626209368975	1.37444654466282	1.67495430922948
OM2410-RN-5676-Gordon-MEGA-Plate-15-A06_OM2410	0.12343884758953	0.245812220019226	-0.236860516197054	0.149646894325629	0.614628955618388	0.31634865673622	0.513386731752352	2.40238379419072	3.45182552919107
OM2415-RN-5676-Gordon-MEGA-Plate-05-B11_OM2415	0.194065516057643	0.298213296461139	0.219224884703318	-0.29591160762338	0.0159498022336919	0.0390007062884717	0.174916008607961	0.848034748954591	0.929565249122776
OM2417-RN-5676-Gordon-MEGA-Plate-10-H07_OM2417	0.160557393851396	0.404175784766554	1.49494271725784	1.92456607127897	1.89249685935186	1.22383457206782	1.3948287067225	1.83922489243741	1.27573713046841
OM2422-RN-5676-Gordon-MEGA-Plate-07-H08_OM2422	-0.13350305000397	-0.233270410654571	0.63751872952537	1.46101309655611	1.82432451366173	0.494283698588029	0.786731127727365	2.25788042057643	2.58305593526296
OM2423-RN-5676-Gordon-MEGA-Plate-11-A10_OM2423	0.101506173936885	0.0558757747750198	1.15849117109684	1.90272650120542	2.28929142835583	0.914557254914484	0.61023824891595	1.58015361989465	1.64758948208741
OM2425-RN-5676-Gordon-MEGA-Plate-14-D09_OM2425	-0.381478726651649	-0.568662073866679	0.571335873360155	1.24882670117949	2.10542461568737	1.92570078543211	2.12136884873188	3.5421480732406	3.74862178403587
OM2427-RN-5676-Gordon-MEGA-Plate-15-C02_OM2427	-0.248597724254679	-0.555786958314742	0.942846935011703	1.04378170640802	1.45923015084499	0.395454253771435	0.519511560339126	0.714819948836387	0.266490895314943
